Continente,Gran Región / Subcontinente,Región Específica / Área Cultural,Cultura / Sociedad,Cronología Aprox. (10k aC - 750 dC),Subsistencia Principal,Patrón Asentamiento,Arquitectura Notable,Tecnologías Clave,Evidencia Jerarquía Social,Redes Intercambio (Alcance),Sistemas Registro / Escritura,
Asia,Asia Central,Estepas Orientales,Imperio Xiongnu,ca. s. III a.C. - s. II d.C.,"Pastoralismo Nómada, Tributos, Guerra","Campamentos móviles, Capitales estacionales?",Kurgánes,"Caballería, Arco compuesto, ¿Administración?",Confederación Imperial (Shanyu),"China (Han), Asia Central",[No Evidencia Propia],
Asia,Asia Central,Estepas (General) / Europa Oriental,Hunos,ca. s. IV - V d.C.,"Pastoralismo Nómada, Guerra, Saqueo",Campamentos móviles,[No relevante],"Caballería pesada?, Arco reflejo",Confederación militar (Atila),Amplia (Asia Central a Europa),[No Evidencia Propia],
Asia,Asia Central,Estepas (General) / Asia Oriental,Primer Kanato Túrquico (Göktürks),ca. 552 - 744 d.C.,"Pastoralismo Nómada, Control Ruta Seda, Guerra","Campamentos móviles, Centros de poder estacionales","Kurgánes con estelas, Inscripciones Orkhon","Caballería pesada, Metalurgia Hierro, ¿Escritura Orkhon?",Kanato Imperial (Khagan),Vasto (China a Bizancio),¿Escritura Orkhon (Runiforme)?,
Asia,Asia Central,Transoxiana / Sogdiana / Bactria,"Culturas Agrícolas Tempranas (Jeitun, Namazga)",ca. 6000 - 2200 a.C.,"Agricultura de regadío temprana, Ganadería","Aldeas permanentes, Crecimiento hacia proto-urbanismo",Viviendas multicompartimentales (adobe),"Cerámica pintada, ¿Cobre temprano?, Irrigación","Creciente, ¿Templos?","Regional (Irán, ¿Mesopotamia?)",¿Sellos?,
Asia,Asia Central,Transoxiana / Sogdiana / Bactria,BMAC / Civilización del Oxus,ca. 2200 - 1700 a.C.,"Agricultura (Regadío), Artesanía especializada, Comercio","Centros urbanos fortificados (Gonur Depe), Aldeas","Arquitectura monumental (adobe), Fortificaciones","Bronce avanzado, Cerámica distintiva, Sellos cilíndricos","Élites claras, ¿Proto-Estado?","Mesop., Indo, Irán",¿Sistema de sellos? (No descif.),
Asia,Asia Central,Transoxiana / Sogdiana / Bactria,Sogdiana / Bactria (Pre-Helénica / Aqueménida),ca. 1000 - 330 a.C.,"Agricultura de regadío, Comercio (proto-Ruta Seda)","Ciudades-oasis (Samarcanda, Balkh), Aldeas","Arquitectura urbana (adobe), Fortalezas","Hierro, Irrigación avanzada","Élites locales, Sátrapas persas","Imperio Aqueménida, Estepas",¿Arameo (adm.)?,
Asia,Asia Central,Transoxiana / Sogdiana / Bactria,Reino Greco-Bactriano,ca. 250 - 125 a.C.,"Agricultura, Comercio (Ruta Seda), Moneda","Ciudades helenísticas (Ai Khanoum), Fortalezas","Arquitectura griega (templos, teatros, gimnasios)","Moneda griega, ¿Papiro?, ¿Pergamino?",Monarquía helenística,"Mundo Helenístico, India, China",Griego (adm./cultural),
Asia,Asia Central,Transoxiana / Sogdiana / Bactria / NW India,Imperio Kushan,ca. s. I - III d.C.,"Comercio (Ruta Seda), Agricultura, ¿Pastoralismo?","Ciudades (Peshawar, Mathura, Begram, Balkh), Monasterios","Arte Gandhara (Buda), Estupas, Palacios?","Moneda Kushan (oro), ¿Escritura Kushan/Bactriana (griega)?",Imperio multiétnico (Rey de Reyes),"China, Partia/Sasánida, Roma","¿Bactriano (alf. griego)?, ¿Kharosthi?",
Asia,Asia Central,Transoxiana / Sogdiana / Bactria,Imperio Heftalita (Hunos Blancos),ca. s. V - VII d.C.,"¿Control rutas comerciales?, ¿Tributos?, Pastoralismo",Centros de poder? [Info Limitada],[Info Limitada],Caballería? Moneda propia?,Confederación nómada,"Persia (Sasánida), India, China",[No Evidencia Propia],
Asia,Asia Central,Cuenca del Tarim (Xinjiang),Culturas del Tarim (Edad Bronce/Hierro Temprano),ca. 2000 a.C. - 200 d.C.,"Agricultura de oasis, ¿Pastoralismo?","Asentamientos en oasis, ¿Fortificaciones?",Tumbas bien conservadas (momias),"Textiles (lana), ¿Bronce?, ¿Hierro temprano?",¿Élites locales?,"¿Asia Central, China, Siberia?",¿Lenguas Tocarias (IE)?,
Asia,Asia Meridional (Subcontinente Indio),Cuenca del Río Indo,Culturas Neolíticas/Calcolíticas (ej. Mehrgarh) [KI],ca. 7000 - 3300 a.C.,"Agricultura temprana (Trigo, Cebada), Pastoralismo","Aldeas permanentes, Crecimiento poblacional",Viviendas adobe multi-habitación,"Cerámica temprana, Piedra pulida, ¿Cobre temprano?",Enterramientos con ajuar?,"Regional (Irán, Asia Central?)",¿Sellos tempranos?,
Asia,Asia Meridional (Subcontinente Indio),Cuenca del Río Indo,Civilización del Valle del Indo (Harappa) [KI + 2.1 R9],ca. 3300 - 1900/1300 a.C.,"Agricultura Intensiva (Trigo, Cebada), Ganadería, Comercio","Grandes Ciudades Planificadas, Aldeas, Puertos","Ladrillo cocido estandarizado, Ciudadelas, Graneros, Baños","Escritura [2.1 R9], Pesos estándar, Bronce, Saneamiento urbano","Planificación urbana, ¿Élites?","Mesopotamia, Golfo Pérsico, Asia C.",Escritura del Indo (no descifrada),
Asia,Asia Meridional (Subcontinente Indio),Cuenca del Río Indo / NW,"Culturas Post-Harappa (ej. Cementerio H, Jhukar) [KI]",ca. 1900 - 1300 a.C.,"Agricultura, Ganadería, ¿Artesanía continuada?","Aldeas, ¿Reocupación sitios IVC?, Desurbanización",[Menos monumental],"Cerámica distintiva, ¿Continuidad tecnológica?",¿Sociedades más localizadas?,Regional,Desaparición escritura Indo,
Asia,Asia Meridional (Subcontinente Indio),Cuenca del Indo / Llanura Indo-Gangética (NW),Cultura Védica Temprana / Cerámica Gris Pintada (PGW) [KI],ca. 1500 - 1000 a.C.,"Principalmente Pastoralismo (Bovino), ¿Agricultura Cebada?",Aldeas? ¿Semi-nómada?,[Evidencia arqueológica limitada],"¿Hierro incipiente?, Carros, Conocimiento Védico (oral)",Sociedad tribal/jefaturas (Rajan),Regional (Inter-tribal),Tradición Oral (Rigveda),
Asia,Asia Meridional (Subcontinente Indio),Llanura Indo-Gangética,Cultura Védica Tardía / Cerámica Negra Pulida (NBPW) / Mahajanapadas [KI],ca. 1000 - 300 a.C.,"Agricultura (Arroz, Trigo), Ganadería, Comercio","Urbanización (2ª), Aldeas, Capitales Reinos","Fortificaciones urbanas, ¿Primeros templos hindúes?","Hierro generalizado, Moneda acuñada, Escritura Brahmi(?)","Reinos/Repúblicas (Mahajanapadas), Sistema Castas (Varna)",Amplio (Subcontinente),Tradición Oral -> Brahmi(?),
Asia,Asia Meridional (Subcontinente Indio),Llanura Indo-Gangética / Gran parte India,Imperio Maurya [KI],ca. 322 - 185 a.C.,"Agricultura (base impositiva), Comercio","Capital (Pataliputra), Ciudades, Red de caminos","Palacios (madera/piedra?), Pilares de Ashoka, Estupas Budistas","Administración centralizada, Burocracia, ¿Moneda?","Emperador, Burocracia, Ejército","Amplio (Helenístico, SE Asia?)","Edictos Ashoka (Brahmi, Kharosthi)",
Asia,Asia Meridional (Subcontinente Indio),Llanura Indo-Gangética / Norte y Centro India,Imperio Gupta [7.1 R9],ca. 319 - 550 d.C.,"Agricultura, Artesanía, Comercio","Ciudades (Pataliputra, Ujjain), Centros religiosos (Nalanda)","Templos Hindúes (piedra temprana), Escultura Clásica, Estupas","Matemáticas (cero, decimal), Astronomía, Metalurgia (Pilar Delhi)","Monarquía Imperial, Sistema Castas","Asia Central, SE Asia, ¿Roma?","Sánscrito (Devanagari), Brahmi",
Asia,Asia Meridional (Subcontinente Indio),Cuenca del Indo (NW) / Gandhara / Punjab,Reino Indo-Griego [8.1 R9],ca. 180 a.C. - 10 d.C.,"Comercio, Agricultura","Ciudades helenísticas/indias (Taxila, Sagala)",¿Urbanismo griego? Estupas,"Monedas bilingües [8.1 R9], ¿Sincretismo artístico?",Reyes Greco-Bactrianos/Indios,"Asia Central, India","Griego, Kharosthi, Brahmi",
Asia,Asia Meridional (Subcontinente Indio),NW India / Gandhara / Bactria / Asia Central,Imperio Kushan [KI],ca. s. I - III d.C.,"Comercio (Ruta Seda), Agricultura, ¿Pastoralismo?","Ciudades (Peshawar, Mathura, Begram), Monasterios Budistas","Arte Gandhara y Mathura (Buda), Estupas, ¿Palacios?","Monedas (oro), ¿Escritura Kushan?",Imperio multiétnico (Rey de Reyes),"China, Partia/Sasánida, Roma","¿Bactriano (alf. griego)?, ¿Kharosthi?, Brahmi",
Asia,Asia Meridional (Subcontinente Indio),Península del Decán,Imperio Satavahana [KI],ca. s. II a.C. - s. III d.C.,"Agricultura, Comercio (interno y marítimo)","Ciudades (Paithan, Amaravati), Puertos, Cuevas excavadas","Estupas (Amaravati), Chaityas/Viharas (Ajanta/Ellora inic.?)","Moneda, Cerámica (rouletted ware?)","Monarquía, ¿Élites comerciales?","Imperio Romano [15.1 R9], SE Asia?",Prácrito (inscripciones Brahmi),
Asia,Asia Meridional (Subcontinente Indio),Península del Decán / Sur India,Culturas Megalíticas [KI],ca. 1000 a.C. - 300 d.C. (?),"Agricultura, Ganadería, ¿Metalurgia?","Aldeas?, Asociado a sitios funerarios","Tumbas megalíticas (Dolmen, Cista, Círculo piedras)","Hierro, Cerámica Negra y Roja",¿Jefaturas?,Regional,[No Evidencia],
Asia,Asia Meridional (Subcontinente Indio),Península del Decán,Dinastías Chalukya (Badami) / Pallava (Kanchi) [Tempranas] [12.1 R9],ca. s. VI - 750+ d.C.,"Agricultura, Comercio","Capitales (Badami, Kanchipuram), Centros religiosos",Templos excavados/construidos (piedra),Desarrollo estilos arquitectónicos dravídicos/vesara,Monarquías hereditarias,"India Meridional, SE Asia?","Sánscrito, ¿Proto-Canarés?, Tamil",
Asia,Asia Meridional (Subcontinente Indio),Sri Lanka,Reino de Anuradhapura (Fases Tempranas) [13.1 R9],ca. s. IV/III a.C. - 750+ d.C.,"Agricultura de Regadío (Arroz), Comercio","Capital (Anuradhapura), Puertos, Monasterios","Estupas gigantes (Dagobas), Sistemas de Irrigación, Monasterios","Ingeniería hidráulica, Escritura Brahmi/Sinhala temprana","Monarquía, Sangha Budista","India, SE Asia, ¿Mediterráneo?","Brahmi -> Sinhala temprano, Pali",
Asia,Sudeste Asiático,Indochina Continental,Culturas Hoabinhian / Neolíticas Continentales [KI],ca. 10.000 - 2000 a.C.,"Caza-Recolección, Pesca, ¿Agric. Incipiente (arroz, tubér.)?","Cuevas, Abrigos rocosos, Aldeas?",[Poco monumental],"Lítica distintiva (Hoab.), Cerámica, ¿Agricultura temprana?",Probablemente limitada,Regional,[No Evidencia],
Asia,Sudeste Asiático,Indochina Continental,"Culturas Edad Bronce (ej. Ban Chiang, Dong Son) [3.1 R10, 4.1 R10]",ca. 2100 a.C. - 200 a.C.,"Agricultura (Arroz), Metalurgia, Pesca","Aldeas, ¿Centros fortificados?",¿Casas sobre pilotes?,"Bronce (tambores Dong Son) [4.1 R10], Cerámica (Ban Chiang) [3.1 R10]| Jefaturas? (Dong Son)",Regional / Inter-regional,[No Evidencia],,
Asia,Sudeste Asiático,Indochina Continental,Reino de Funan [KI],ca. s. I - VI d.C.,"Agricultura (Arroz, regadío?), Comercio Marítimo","Centro urbano/portuario (Oc Eo), Aldeas","¿Templos?, Canales","Navegación, ¿Escritura (India)?",Monarquía indianizada,"India, China, ¿Mediterráneo?",¿Influencia Brahmi/Sánscrito?,
Asia,Sudeste Asiático,Indochina Continental,Reino de Chenla [KI],ca. s. VI - VIII d.C.,Agricultura (Arroz),Centros ceremoniales/urbanos,Templos tempranos (ladrillo),¿Escritura (Jemer temprano)?,Monarquía indianizada,Regional (Sucesor Funan),¿Influencia Brahmi/Sánscrito?,
Asia,Sudeste Asiático,Indochina Continental,Ciudades-Estado Pyu (ej. Sri Ksetra) [KI + 7.1 R10],ca. s. II a.C. - 750+ d.C.,"Agricultura (Arroz?), Artesanía, Comercio",Ciudades amuralladas,"Estupas, Monasterios (ladrillo)","Urbanismo, ¿Escritura Pyu?, Budismo Theravada",Monarquías urbanas,"India, China?",¿Escritura Pyu (índica)?,
Asia,Sudeste Asiático,Indochina Continental,Reino Dvaravati (Mon) [KI],ca. s. VI - 750+ d.C.,"Agricultura (Arroz?), Comercio",Centros urbanos/religiosos,"Estupas, Ruedas del Dharma","Arte budista distintivo, ¿Escritura Mon?",Monarquías budistas,"India, ¿Chenla?",¿Influencia Brahmi/Pali?,
Asia,Sudeste Asiático,Sudeste Asiático Marítimo / Insulindia,Expansión Austronesia / Culturas Neolíticas Insulares [9.1 R10],desde ca. 2200 a.C.,"Agricultura (Arroz?, Tubérculos), Pesca, Navegación",Aldeas costeras/interiores,Casas sobre pilotes?,"Canoa con balancín, Cerámica (¿Lapita rel.?), Agricultura",¿Basada en linajes?,Amplia (Marítima),[No Evidencia],
Asia,Sudeste Asiático,Sudeste Asiático Marítimo / Insulindia,Cultura Sa Huynh (Costa Vietnam) [10.1 R10],ca. 1000 a.C. - 200 d.C.,"¿Agricultura?, Pesca, ¿Comercio?, **Metalurgia Hierro** [10.1 R10]| Aldeas? Asociado a cementerios",[No destacado],"Hierro [10.1 R10], Cerámica, Cuentas vidrio/piedra, Entierros Urna | ¿Jefaturas? (Entierros urna)",Regional (¿Conexión marítima?),[No Evidencia],,,
Asia,Sudeste Asiático,Sudeste Asiático Marítimo / Insulindia,Puertos/Reinos Comerciales Tempranos (ej. Tarumanagara?) [KI],ca. s. I - VII d.C.,"Comercio Marítimo (Especias, etc.), Agricultura","Puertos comerciales, Centros políticos",¿Santuarios hindúes/budistas?,"Navegación, ¿Escritura (India)?",Jefaturas/Reinos indianizados,"India, China, ¿Roma? [14.1 R10]| ¿Influencia Brahmi/Sánscrito?",,
Asia,Sudeste Asiático,Sudeste Asiático Marítimo / Insulindia,Imperio de Srivijaya (Fase temprana) [12.1 R10],desde ca. s. VII d.C.,"Control Comercio Marítimo (Estrechos Malaca), Pesca","Centro principal (Palembang?), Puertos tributarios","¿Templos budistas?, ¿Barcos?","Navegación avanzada, Administración marítima",Imperio Talasocrático Budista,"China, India, Sudeste Asiático","¿Sánscrito, Malayo Antiguo?",
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),"Culturas Neolíticas Tempranas (Peiligang, Cishan) [KI]",ca. 8000 - 5000 a.C.,"Agricultura (Mijo), Caza-Rec.",Aldeas pequeñas,"Viviendas semi-subterráneas, Almacenamiento","Cerámica temprana, Piedra pulida",Limitada,Regional,[No Evidencia],
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Cultura Yangshao [1.1 R11],ca. 5000 - 3000 a.C.,"Agricultura (Mijo), Ganadería (cerdo, perro), Pesca","Aldeas más grandes (ej. Banpo), posible foso defensivo","Viviendas semi-subterráneas/superficie, Hornos cerámica","Cerámica pintada distintiva, Piedra pulida, ¿Sericultura?","Limitada, ¿Egalitaria?",Regional,¿Marcas en cerámica?,
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Cultura Longshan [KI],ca. 3000 - 1900 a.C.,"Agricultura intensiva, Ganadería",Grandes asentamientos amurallados (tierra apisonada),"Murallas, Plataformas, ¿Estructuras rituales?","Cerámica negra fina (""cáscara huevo""), Adivinación (escápula)","Creciente (Entierros, murallas)",Amplia (Interregional),¿Proto-escritura? (Marcas),
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Cultura Erlitou (¿Dinastía Xia?) [2.1 R11],ca. 1900 - 1500 a.C.,"Agricultura, ¿Control recursos (bronce)?","Centro proto-urbano/capital, Talleres especializados","Palacios sobre plataformas, Tumbas élite","Bronce temprano (vasijas rituales *jue*), Turquesa, Jade","Estado temprano? (Palacios, tumbas)",Regional (Henan y alrededores),[No Evidencia Clara],
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Dinastía Shang [KI],ca. 1600 - 1046 a.C.,"Agricultura (Mijo), Tributos, Guerra","Capitales (Zhengzhou, Anyang), Centros regionales","Palacios, Templos, Murallas, Tumbas reales monumentales","Bronce (auge), Escritura (huesos oraculares), Carro de guerra","Monarquía teocrática, Élites",Amplio (Comercio/Guerra),Escritura China temprana,
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Dinastía Zhou Occidental [KI],ca. 1046 - 771 a.C.,"Agricultura, Sistema 'Feudal' (Fengjian)","Capital (Haojing), Ciudades estado/feudos","Palacios, Templos, ¿Tumbas?","Bronce (inscripciones largas), ¿Hierro incipiente?","Rey (Mandato Cielo), Nobleza feudal",Amplio (interno China),Escritura China (bronces),
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),"Dinastía Zhou Oriental (Primaveras/Otoños, Reinos Combatientes) [KI]",771 - 256 a.C.,"Agricultura intensiva, Guerra endémica, Comercio","Capitales estatales fortificadas, Crecimiento urbano","Murallas masivas, Palacios","Hierro generalizado, Moneda, Ballesta, Filosofía Clásica","Reinos/Estados rivales, Burocracia",Inter-estatal China,Escritura China (diversificada),
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Dinastía Qin [6.1 R11],221 - 206 a.C.,"Agricultura (base impositiva), Proyectos estatales","Imperio Unificado, Capital (Xianyang)","Gran Muralla (inicio unif.), Mausoleo Qin Shi Huang","Estandarización (escritura, moneda, pesos), Legalismo",Imperio Centralizado (Emperador),Todo China,Escritura China estandarizada,
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Dinastía Han [7.1 R11],206 a.C. - 220 d.C.,"Agricultura, Comercio (Ruta Seda), Monopolios estatales","Imperio extenso, Capitales (Chang'an, Luoyang), Ciudades","Palacios, Tumbas elaboradas, Templos confucianos","Papel, Porcelana temprana, Sismógrafo, Confucianismo",Imperio Burocrático (Emperador),"Vasto (Asia Central, Vietnam, Corea)",Escritura China (evolución),
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),"Período de Desunión (Tres Reinos, Jin, N/S Dynasties) [KI]",220 - 589 d.C.,"Agricultura, Guerra, Difusión Budismo","Fragmentación política, Capitales regionales/dinásticas","Templos/Cuevas Budistas (Longmen, Yungang), Fortificaciones","Metalurgia avanzada, ¿Estribo?",Múltiples Reinos/Dinastías,Regional / Inter-regional,Escritura China,
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Dinastía Sui [KI],581 - 618 d.C.,"Agricultura, Construcción (Gran Canal)","Imperio reunificado, Capitales (Daxing/Chang'an, Luoyang)","Gran Canal, Palacios",Administración centralizada,Imperio Centralizado,Todo China,Escritura China,
Asia,Asia Oriental,China - Cuenca Río Amarillo (Norte),Dinastía Tang (Inicio) [KI],618 - 750+ d.C.,"Agricultura, Comercio (Ruta Seda), Artesanía","Imperio Cosmopolita, Capital (Chang'an), Ciudades","Palacios, Templos Budistas/Taoístas","Imprenta (bloques madera)?, Pólvora?, Porcelana avanzada",Imperio Burocrático (Emperador),"Vasto (Asia Central, Corea, Japón)",Escritura China,
Asia,Asia Oriental,China - Cuenca Río Yangtsé y Sur,"Culturas Neolíticas del Sur (ej. Hemudu, Liangzhu) [KI+8.1 R11]",ca. 7000 - 2300 a.C.,"Agricultura (Arroz temprano), Pesca, Recolección","Aldeas (Hemudu: casas pilotes), Centros rituales (Liangzhu)","Plataformas tierra (Liangzhu), Artefactos Jade [8.1 R11]| Cultivo arroz húmedo, Jade sofisticado [8.1 R11], Cerámica",Jefaturas complejas (Liangzhu) [8.1 R11]| Regional (Liangzhu: amplio),Simbolismo complejo (Jade),,,
Asia,Asia Oriental,China - Cuenca Río Yangtsé y Sur,Culturas Regionales / Integración en Estados del Norte [KI],ca. 2000 a.C. - 750+ d.C.,"Agricultura (Arroz), ¿Metalurgia local (Sanxingdui)?","¿Centros regionales?, Integración gradual",(Varía regionalmente),"Bronce (distinto al Norte?), Hierro",Jefaturas/Estados locales -> Provincias,"Norte de China, SE Asia?",¿Influencia escritura china?,
Asia,Asia Oriental,Manchuria,Culturas Neolíticas/Bronce/Hierro [KI],ca. 8000 a.C. - 750+ d.C.,"Mixta: Agricultura (Mijo?), Caza-Rec., Pastoralismo?","Aldeas dispersas, ¿Campamentos?","¿Cerámica (Hongshan)?, ¿Megalitos?","Jade (Hongshan), ¿Bronce/Hierro local o importado?",¿Tribal/Jefaturas?,"China Norte, Corea, Siberia?",[No Evidencia Clara],
Asia,Asia Oriental,Península Coreana,Cultura Jeulmun [9.1 R11],ca. 8000 - 1500 a.C.,"Caza-Recolección, Pesca (costera intensiva?), ¿Mijo tardío?","Aldeas pequeñas costeras/fluviales, semi-subterráneas",Viviendas-pozo,"Cerámica (decoración peine) [9.1 R11], Lítica, Arpones hueso",Probablemente Egalitaria,Regional,[No Evidencia],
Asia,Asia Oriental,Península Coreana,Cultura Mumun [10.1 R11],ca. 1500 - 300 a.C.,"Agricultura Intensiva (Arroz húmedo, Mijo, etc.), Pesca","Aldeas más grandes, Campos elevados, Dólmenes",Dólmenes (entierros élite) [9.1 R11],"Cerámica sin decorar, Bronce (tardío, prestigio), ¿Hierro inic.?","Jefaturas, Estratificación [10.1 R11]| Regional (Japón Yayoi?) [10.1 R11]| [No Evidencia]",,,
Asia,Asia Oriental,Península Coreana,Gojoseon / Estados Jin / Samhan [KI],ca. ??? (<1000?) - s. I a.C.,"Agricultura, Metalurgia (Hierro desde ~300 aC)","¿Centros fortificados?, Aldeas",¿Tumbas élite?,Hierro,"Reino temprano (Gojoseon?), Confederaciones (Samhan)","China (Yan?), ¿Japón?",¿Influencia escritura china?,
Asia,Asia Oriental,Península Coreana,"Tres Reinos (Goguryeo, Baekje, Silla - formación) [KI]",ca. s. I a.C./d.C. - 668 d.C.,"Agricultura intensiva, Guerra, Comercio","Capitales amuralladas, Ciudades, Aldeas","Tumbas monumentales (murales Goguryeo), Templos budistas","Hierro avanzado, Caballería, ¿Escritura adaptada?","Monarquías hereditarias, Aristocracia","China, Japón",Escritura China -> Adaptaciones,
Asia,Asia Oriental,Archipiélago Japonés,Cultura Jōmon [KI],ca. 10.000 - 300 a.C.,"Caza-Recolección-Pesca Compleja, ¿Horticultura?","Aldeas semi-sedentarias, Pit-houses","Viviendas-pozo, ¿Plataformas conchas?, Figurillas arcilla","Cerámica (muy temprana), Lítica pulida, Arco, Lacado",¿Jefaturas simples?,Regional (dentro de Japón),[No Evidencia],
Asia,Asia Oriental,Archipiélago Japonés,Cultura Yayoi [KI],ca. 300 a.C. - 300 d.C.,"Agricultura Arroz Húmedo, Pesca","Aldeas más grandes, rodeadas fosos/empalizadas","Almacenes elevados, ¿Tumbas élite?",Metalurgia (Bronce - campanas/armas; Hierro - herramientas),Estratificación creciente,"Corea (Mumun), ¿China?",[No Evidencia Propia],
Asia,Asia Oriental,Archipiélago Japonés,Período Kofun / Estado Yamato Temprano [KI],ca. 300 - 710 d.C.,"Agricultura Arroz, Guerra, Control recursos","Aldeas, Centros de poder Yamato, Kofun (túmulos)","Kofun gigantes (forma llave), Haniwa (figuras arcilla)","Hierro avanzado, Caballería, ¿Escritura china adoptada?","Estado centralizado emergente (Rey/Emperador Yamato), Uji (clanes)","Corea (Tres Reinos), China",Escritura China (adoptada),
Asia,Asia Septentrional,Siberia Occidental,Culturas Neolíticas Sib. Occ. [KI],ca. 7000 - 3000 a.C.,"Caza (Alce, Reno), Pesca, Recolección",Campamentos ribereños/lacustres,Viviendas semi-subterráneas?,"Cerámica temprana, Lítica, Redes/Trampas",Probablemente Egalitaria,Regional,[No Evidencia],
Asia,Asia Septentrional,Siberia Occidental,"Culturas Edad Bronce (Odino, Krotovo, Seima-Turbino inf.)",ca. 3000 - 1000 a.C.,"Caza, Pesca, ¿Pastoralismo inic.?","Aldeas, ¿Fortificaciones Krotovo?","Viviendas, Hornos fundición","Metalurgia Bronce (local + S-T), Cerámica",¿Emergente (Metalurgia)?,"Amplia (Seima-Turbino, Andronovo)",[No Evidencia],
Asia,Asia Septentrional,Siberia Occidental,Cultura Sargat,ca. 700 a.C. - 500 d.C.,"Mixta: Agricultura?, Ganadería, Metalurgia, Caza","Aldeas sedentarias, ¿Fortalezas?","Viviendas, Kurgánes","Metalurgia Hierro/Acero local, Cerámica",Jefaturas? (Influencia Escita),Regional (Nómadas Estepa),[No Evidencia],
Asia,Asia Septentrional,Siberia Central y Oriental (Baikal),"Culturas Neolíticas del Baikal (Serovo, Kitoi, etc.)",ca. 6200 - 3000 a.C. (?),"Caza (foca Baikal?), Pesca, Recolección",Campamentos/Cementerios ribereños,Tumbas elaboradas (Kitoi),"Lítica, Hueso trabajado, Cerámica, ¿Arcos?",Diferenciada (Entierros Kitoi),Regional,Arte mobiliar?,
Asia,Asia Septentrional,"Siberia Central y Oriental (Yakutia, NE)",Cultura Ymyakhtakh [KI],ca. 2200 - 1000 a.C. (?),"Caza (Reno salvaje?), Pesca, Recolección",Aldeas estacionales?,"Viviendas, ¿Arte?","Cerámica (impronta red), Lítica, Hueso",?,Amplia (Dispersión cerámica),[No Evidencia],
Asia,Asia Septentrional,Siberia (General / Zonas subárticas/árticas),Desarrollo Pastoralismo Reno [KI],"¿Inicios variables?, Proceso largo",Caza Reno -> Pastoreo especializado,Movilidad creciente/adaptada,"Campamentos, ¿Corrales?","Técnicas manejo reno, Trineos?",¿Basada en rebaños/linajes?,Regional / Circumpolar,[No Evidencia],
Asia,Asia Septentrional,Siberia (Sur - Minusinsk),Cultura Tagar,ca. s. VIII - I a.C.,"Agro-pastoralismo, Metalurgia","¿Asentamientos fortificados?, Kurgánes",Kurgánes (ricos ajuares),"Metalurgia Hierro avanzada, Arte Escita, Bronce (tardío)",Élites guerreras (Escitas),Amplia (Mundo Escita),[No Evidencia Propia],
Asia,Asia Septentrional,Lejano Oriente Ruso (Amur),"Culturas Neolíticas del Amur (Gromatukha, Novopetrovka)",ca. 13.500 - 7000 a.C. (?),"Pesca, Caza, Recolección, ¿Agricultura mijo?",Aldeas ribereñas,Viviendas semi-subterráneas?,"Cerámica muy temprana, Tecnología laminar (Novopetrovka)",?,Regional,¿Petroglifos?,
Asia,Asia Septentrional,Lejano Oriente Ruso (Primorye),Cultura Yankovsky [KI],ca. 800 - 300 a.C. (?),"Economía marítima (concheros), ¿Agricultura?",Aldeas costeras,"Concheros grandes, Viviendas","Cerámica distintiva, Hierro temprano?",¿Complejidad basada en recursos?,"Corea, ¿Japón?",[No Evidencia],
Europa,Europa Meridional (Mediterránea),Península Ibérica,Neolítico Ibérico (ej. Cardial),ca. 5600 - 3000 a.C.,"Agricultura (Trigo/Cebada), Ganadería (Ovino/Caprino)","Aldeas, Cuevas, Megalitismo (Dólmenes)","Megalitos (Dólmenes, Menhires)","Cerámica Cardial/Impresa, Piedra Pulida",¿Incipiente (Megalitos)?,Mediterráneo,[No Evidencia Clara],
Europa,Europa Meridional (Mediterránea),Península Ibérica,"Calcolítico Ibérico (Los Millares, Vila Nova, Zambujal)",ca. 3200 - 2200 a.C.,"Agricultura (¿Riego?), Ganadería, Metalurgia Cobre",Poblados Fortificados amurallados (piedra seca),"Murallas con bastiones, Tholoi (Los Millares)","Metalurgia Cobre/Arsénico, Cerámica (Campaniforme - final), Ídolos",Jefaturas (Poblados fortificados),"Amplio (Atlántico, Mediterráneo)",¿Símbolos en ídolos/cerámica?,
Europa,Europa Meridional (Mediterránea),Península Ibérica,Edad Bronce: Cultura de El Argar,ca. 2200 - 1500 a.C.,"Agricultura, Ganadería, Metalurgia Bronce/Arsénico",Poblados jerarquizados en altura,"Viviendas complejas, Tumbas en cista/pithos","Bronce (armas ppal.), Cerámica bruñida",Fuerte Estratificación,Regional (SE Iberia),[No Evidencia Clara],
